------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 29.5200-29.7000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       45K/36926 us  39.21
[  3] 29.7000-29.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       52K/41937 us  25.90
[  3] 29.8800-30.0600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       57K/47372 us  30.57
[  3] 30.0600-30.2400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       63K/52194 us  6.94
[  3] 30.2400-30.4200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       66K/54249 us  26.69
[  3] 30.4200-30.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       70K/58668 us  24.68
[  3] 30.6000-30.7800 sec   191 KBytes  8.69 Mbits/sec  2/0          1       70K/62167 us  17.47
[  3] 30.7800-30.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          1       42K/33709 us  42.96
[  3] 30.9600-31.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       49K/39694 us  27.36
[  3] 31.1400-31.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       55K/44463 us  32.57
[  3] 31.3200-31.5000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       60K/49523 us  14.62
[  3] 31.5000-31.6800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       63K/52165 us  20.82
[  3] 31.6800-31.8600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/57014 us  19.05
[  3] 31.8600-32.0400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/60031 us  24.12
[  3] 32.0400-32.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          2       38K/41031 us  35.29
[  3] 32.2200-32.4000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       45K/36838 us  29.48
[  3] 32.4000-32.5800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       50K/41471 us  34.92
[  3] 32.5800-32.7600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       56K/46171 us  23.52
[  3] 32.7600-32.9400 sec   127 KBytes  5.79 Mbits/sec  1/0          0       62K/51245 us  14.13
[  3] 32.9400-33.1200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       65K/53789 us  20.19
[  3] 33.1200-33.3000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/57601 us  25.14
[  3] 33.3000-33.4800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/61779 us  17.58
[  3] 33.4800-33.6600 sec   255 KBytes  11.6 Mbits/sec  2/0          2       39K/32523 us  44.52
[  3] 33.6600-33.8400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       46K/37623 us  38.49
[  3] 33.8400-34.0200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       53K/43650 us  24.88
[  3] 34.0200-34.2000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       59K/47496 us  30.49
[  3] 34.2000-34.3800 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       63K/52504 us  6.89
[  3] 34.3800-34.5600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       66K/54146 us  26.74
[  3] 34.5600-34.7400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       70K/58395 us  18.60
[  3] 34.7400-34.9200 sec   255 KBytes  11.6 Mbits/sec  2/0          1       70K/61584 us  23.51
[  3] 34.9200-35.1000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       41K/33511 us  43.21
[  3] 35.1000-35.2800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       48K/39012 us  27.84
[  3] 35.2800-35.4600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       55K/45341 us  23.95
[  3] 35.4600-35.6400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       60K/49797 us  29.08
[  3] 35.6400-35.8200 sec   127 KBytes  5.79 Mbits/sec  1/0          0       65K/54471 us  13.29
[  3] 35.8200-36.0000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/56261 us  19.30
[  3] 36.0000-36.1800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59655 us  24.27
[  3] 36.1800-36.3600 sec   191 KBytes  8.69 Mbits/sec  2/0          2       36K/51951 us  20.90
[  3] 36.3600-36.5400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       45K/36310 us  39.88
[  3] 36.5400-36.7200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       50K/40948 us  35.36
[  3] 36.7200-36.9000 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       57K/46981 us  7.71
[  3] 36.9000-37.0800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       60K/49401 us  29.31
[  3] 37.0800-37.2600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       65K/53949 us  26.84
[  3] 37.2600-37.4400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       69K/58122 us  18.68
[  3] 37.4400-37.6200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       74K/61939 us  23.38
